"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED16","LED5MM","57.4802mm","165.1046mm","57.4802mm","165.1046mm","56.2102mm","165.1046mm","T","0.00",""
"LED17","LED5MM","51.4604mm","165.1046mm","51.4604mm","165.1046mm","50.1904mm","165.1046mm","T","0.00",""
"LED18","LED5MM","45.466mm","165.1046mm","45.466mm","165.1046mm","44.196mm","165.1046mm","T","0.00",""
"LED19","LED5MM","39.4716mm","165.1046mm","39.4716mm","165.1046mm","38.2016mm","165.1046mm","T","0.00",""
"LED20","LED5MM","33.4772mm","165.1046mm","33.4772mm","165.1046mm","32.2072mm","165.1046mm","T","0.00",""
"LED21","LED5MM","27.4828mm","165.1046mm","27.4828mm","165.1046mm","26.2128mm","165.1046mm","T","0.00",""
"LED22","LED5MM","63.4746mm","171.099mm","63.4746mm","171.099mm","62.2046mm","171.099mm","T","0.00",""
"LED23","LED5MM","57.4802mm","171.099mm","57.4802mm","171.099mm","56.2102mm","171.099mm","T","0.00",""
"LED24","LED5MM","51.4604mm","171.099mm","51.4604mm","171.099mm","50.1904mm","171.099mm","T","0.00",""
"LED25","LED5MM","45.466mm","171.099mm","45.466mm","171.099mm","44.196mm","171.099mm","T","0.00",""
"LED26","LED5MM","39.4716mm","171.099mm","39.4716mm","171.099mm","38.2016mm","171.099mm","T","0.00",""
"LED27","LED5MM","33.4772mm","171.099mm","33.4772mm","171.099mm","32.2072mm","171.099mm","T","0.00",""
"LED1","LED5MM","63.4746mm","152.9888mm","63.4746mm","152.9888mm","62.2046mm","152.9888mm","T","0.00",""
"U$2","LED-TRICOLOR-SMD","86.7212mm","145.8126mm","86.7156mm","145.8006mm","87.4268mm","144.3006mm","T","0.00",""
"SV1","FE05-1","15.494mm","175.9758mm","15.494mm","175.9758mm","10.414mm","175.9758mm","T","0.00",""
"R32","0805","82.0492mm","145.9276mm","82.042mm","145.9276mm","81.142mm","145.9276mm","T","0.00",""
"R33","0805","90.805mm","146.5444mm","90.805mm","146.5372mm","90.805mm","145.6372mm","T","90.00",""
"R36","0805","9.0932mm","147.9016mm","9.0932mm","147.9088mm","9.0932mm","148.8088mm","T","270.00",""
"R37","0805","8.948mm","143.8702mm","8.9408mm","143.8702mm","8.0408mm","143.8702mm","T","0.00",""
"R38","0805","86.4616mm","175.0542mm","86.4616mm","175.0614mm","86.4616mm","175.9614mm","T","270.00",""
"R39","0805","81.9984mm","147.985mm","81.9912mm","147.985mm","81.0912mm","147.985mm","T","0.00",""
"SV3_LCD_HEADER","MDF7-5S-2.54DSA","36.2839mm","177.5125mm","29.972mm","174.401mm","31.1912mm","176.0012mm","T","0.00",""
"SG1","BUZZER-12MM","88.2656mm","161.4978mm","88.265mm","161.4978mm","91.5162mm","161.4978mm","T","0.00",""
"JP1","2X20","45.085mm","145.8006mm","45.085mm","145.8006mm","69.215mm","147.0706mm","T","180.00",""
"R51","0805","79.4694mm","153.7mm","79.4766mm","153.7mm","80.3766mm","153.7mm","T","180.00",""
"R52","0805","4.26mm","142.8034mm","4.2672mm","142.8034mm","5.1672mm","142.8034mm","T","180.00",""
"R55","0805","13.4548mm","142.8034mm","13.462mm","142.8034mm","14.362mm","142.8034mm","T","180.00",""
"LED29","CHIPLED_1206","4.3675mm","145.191mm","4.3688mm","145.191mm","6.1188mm","145.191mm","T","90.00",""
"LED30","CHIPLED_1206","13.4607mm","145.0894mm","13.462mm","145.0894mm","15.212mm","145.0894mm","T","90.00",""
"C6","E3,5-8","72.9742mm","151.795mm","72.9742mm","151.795mm","72.9742mm","153.573mm","T","270.00",""
